id,first_name,last_name,netid
1,Liliane,Richter,lrichter0
2,Guinevere,Dargie,gdargie1
3,Rowan,Cowper,rcowper2
4,Wini,Barabisch,wbarabisch3
5,Emelen,Rayment,erayment4
6,Florentia,Stolli,fstolli5
7,Edgardo,Colles,ecolles6
8,Corrina,Stanett,cstanett7
9,Valenka,Beirne,vbeirne8
10,Catharina,Ogdahl,cogdahl9
11,Layney,Elstone,lelstonea
12,Lonnie,Bangham,lbanghamb
13,Mollee,Sazio,msazioc
14,Sander,Jope,sjoped
15,Con,Basile,cbasilee
16,Chickie,Hayfield,chayfieldf
17,Consalve,Paike,cpaikeg
18,Rochelle,Vedeshkin,rvedeshkinh
19,Lisbeth,Paulon,lpauloni
20,Lucienne,Weaver,lweaverj
21,Annie,Clague,aclaguek
22,Hardy,Milbourn,hmilbournl
23,Pincus,Sabbatier,psabbatierm
24,Reagen,Fuentez,rfuentezn
25,Andria,Girardy,agirardyo
26,Shurlocke,Tipler,stiplerp
27,Cchaddie,MacNeely,cmacneelyq
28,Wilbur,Seabrocke,wseabrocker
29,Robinson,Schonfeld,rschonfelds
30,Carlie,Handforth,chandfortht
31,Farrell,Dutteridge,fdutteridgeu
32,Eldredge,Blackborow,eblackborowv
33,Corrie,Costall,ccostallw
34,Bria,Zannini,bzanninix
35,Tony,Sheircliffe,tsheircliffey
36,Guthry,Ivell,givellz
37,Amalita,Doumerque,adoumerque10
38,Robby,Ramey,rramey11
39,Odelle,Strathern,ostrathern12
40,Augie,Glaserman,aglaserman13
41,Benni,Benian,bbenian14
42,Ronnie,Tizard,rtizard15
43,Hube,Rennard,hrennard16
44,Dietrich,Beveridge,dbeveridge17
45,Mella,Sicily,msicily18
46,Leshia,Laugier,llaugier19
47,Delano,Gorrie,dgorrie1a
48,Winifield,Ellerbeck,wellerbeck1b
49,Yolande,Jobey,yjobey1c
50,Tracie,Rudolfer,trudolfer1d
51,Reilly,Siddeley,rsiddeley1e
52,Cornelius,Keighly,ckeighly1f
53,Sheryl,Ferreli,sferreli1g
54,Boyce,Attrey,battrey1h
55,Ely,Lefwich,elefwich1i
56,Philly,Ghidoli,pghidoli1j
57,Lynelle,Pinchback,lpinchback1k
58,Germaine,Meatcher,gmeatcher1l
