id,first_name,last_name,netid
1,Tades,Worswick,tworswick0
2,Andy,Massimo,amassimo1
3,Drucie,Vauls,dvauls2
4,Jaymee,Hekkert,jhekkert3
5,Rafaello,McDool,rmcdool4
6,Kristoforo,Spittle,kspittle5
7,Jany,McGerraghty,jmcgerraghty6
8,Dayna,Duckinfield,dduckinfield7
9,Griffy,Braunstein,gbraunstein8
10,Olivette,Matschek,omatschek9
11,Mahalia,Questier,mquestiera
12,Bethina,Fludgate,bfludgateb
13,Pollyanna,Windebank,pwindebankc
14,Melosa,Hedderly,mhedderlyd
15,Aldis,Sibbons,asibbonse
16,Weylin,Corby,wcorbyf
17,Symon,Tebbe,stebbeg
18,Marc,Dedman,mdedmanh
19,Lindsay,Inkster,linksteri
20,Laurette,Legh,lleghj
21,Patty,Lippiatt,plippiattk
22,Barron,Baggett,bbaggettl
23,Napoleon,Manning,nmanningm
24,Palm,Anthoine,panthoinen
25,Haley,Woolfitt,hwoolfitto
26,Artair,Charkham,acharkhamp
27,Zonnya,Matisoff,zmatisoffq
28,Margi,Scandroot,mscandrootr
29,Dayna,Hanhardt,dhanhardts
30,Jeri,Eliez,jeliezt
31,Cicely,O'Riordan,coriordanu
32,Perrine,Kuschel,pkuschelv
33,Shawnee,Stolberger,sstolbergerw
34,Waylin,Gascoyne,wgascoynex
35,Barn,Watting,bwattingy
36,Ami,Toffanelli,atoffanelliz
37,Byrann,Dukelow,bdukelow10
38,Deane,Milnthorpe,dmilnthorpe11
39,Aldridge,Devorill,adevorill12
40,Sutton,Scrivener,sscrivener13
41,Dorotea,Reader,dreader14
42,Rhody,Davenell,rdavenell15
43,Rollins,Giorgielli,rgiorgielli16
44,Broderick,Haydon,bhaydon17
45,Lenna,Pendle,lpendle18
46,Fernanda,Willingham,fwillingham19
47,Shana,Allmond,sallmond1a
48,Rosalie,Bembrick,rbembrick1b
49,Bernelle,Alyokhin,balyokhin1c
50,Calla,Simkovich,csimkovich1d
51,Willi,Hurdis,whurdis1e
52,Karl,Antunez,kantunez1f
53,Conn,Hinksen,chinksen1g
54,Farrah,Meddick,fmeddick1h
55,Sib,Smissen,ssmissen1i
56,Catherin,Gookes,cgookes1j
57,Kimbra,Colson,kcolson1k
58,Jodee,Shearme,jshearme1l
59,Veronike,Matevosian,vmatevosian1m
60,Andre,Alliban,aalliban1n
61,Elfrida,Domleo,edomleo1o
62,Annalise,Mapam,amapam1p
63,Roderigo,Sandercock,rsandercock1q
64,Barn,Floris,bfloris1r
65,Ada,McLese,amclese1s
